timestamp,coverage,gap_missing,gap_partial,gap_implemented,missing_symbols,missing_tests
2025-10-18T20:27:02Z,0.00,27,11,5,0,0
2025-10-18T20:27:02Z,0.00,27,11,5,0,0
2025-10-19T08:00:30Z,100.00,20,15,8,0,0
2025-10-19T08:00:30Z,100.00,20,15,8,0,0
2025-10-19T08:59:48Z,100.00,20,15,8,0,0
2025-10-19T08:59:48Z,100.00,20,15,8,0,0
2025-10-19T10:49:06Z,100.00,20,15,8,0,0
2025-10-19T10:49:06Z,100.00,20,15,8,0,0
2025-10-19T13:04:20Z,100.00,20,15,8,0,0
2025-10-19T13:04:21Z,100.00,20,15,8,0,0
2025-10-19T13:09:03Z,100.00,20,15,8,0,0
2025-10-19T13:09:04Z,100.00,20,15,8,0,0
2025-10-19T21:12:06Z,100.00,20,15,8,0,0
2025-10-19T21:12:06Z,100.00,20,15,8,0,0
2025-10-19T22:07:34Z,100.00,20,15,8,0,0
2025-10-19T22:07:35Z,100.00,20,15,8,0,0
2025-10-21T07:43:24Z,100.00,20,15,8,0,0
2025-10-21T07:43:25Z,100.00,20,15,8,0,0
2025-10-21T07:44:40Z,100.00,20,15,8,0,0
2025-10-21T07:44:41Z,100.00,20,15,8,0,0
2025-10-21T07:45:58Z,100.00,20,15,8,0,0
2025-10-21T07:45:59Z,100.00,20,15,8,0,0
2025-11-06T20:58:20+01:00,68.75,19,16,8,15,3
2025-11-06T20:58:32+01:00,68.75,19,16,8,15,3
2025-11-06T21:10:55+01:00,68.75,19,16,8,15,3
2025-11-06T21:11:15+01:00,68.75,19,16,8,15,3
2025-11-06T21:20:44+01:00,100.00,19,16,8,0,3
